"","Sp","Limb_width","Limb_length","Observer","Volume"
"31","P. maculata",2.53731846492149,6.7836884859619,"Asher",11.4336391887246
"32","P. maculata",3.00470002908275,8.59014576848671,"Graydon",20.3035230370579
"33","L. pipiens",4.45039725511988,8.55614327565194,"Asher",44.3653828052016
"34","L. pipiens",3.752679092546,8.10845089348356,"Chloe",29.8943677535248
"35","L. pipiens",3.96615979018952,5.90265815511523,"Asher",24.3084167545551
"36","L. pipiens",3.46847682421931,5.13939428362245,"Graydon",16.1866940369571
"37","D. versicolor",2.75909210115727,6.08642115202275,"Graydon",12.1300620552506
"38","L. clamitans",4.03257677922125,8.24556891198713,"Chloe",35.1038331977021
"39","L. pipiens",2.35980076887525,7.0878547183607,"Graydon",10.3331827519665
"40","D. versicolor",1.68377560987557,7.42348189505024,"Chloe",5.50991258675011
"41","L. clamitans",3.36190890816991,6.18151698343133,"Asher",18.2909211395579
"42","D. versicolor",3.72118050424848,5.45743216292622,"Asher",19.7841978554989
"43","L. clamitans",5.48517851188455,7.55588214573161,"Graydon",59.5162191085876
"44","L. clamitans",2.0149792263178,6.63097102949345,"Chloe",7.04834093767136
"45","L. clamitans",2.6615002496166,5.95266171996388,"Graydon",11.0390792744654
"46","P. maculata",4.25429923340249,7.01817991624752,"Graydon",33.2544057210247
"47","L. pipiens",1.87164719481928,7.88187750575616,"Chloe",7.22846833860589
"48","P. crucifer",4.55950871674596,7.88186149524293,"Asher",42.8976524386512
"49","P. maculata",3.70800598509816,8.02624318512833,"Asher",28.890948076989
"50","L. pipiens",3.93429586242612,6.61869082065382,"Asher",26.820986851337
"51","L. pipiens",3.68359205060097,8.09943523714178,"Chloe",28.7717592690326
"52","D. versicolor",4.01918175272205,6.96908286881836,"Chloe",29.4726744763617
"53","P. maculata",2.75951683015512,7.19033941995119,"Asher",14.3345516125458
"54","P. crucifer",4.67763759268135,8.33520653499813,"Graydon",47.7461254099056
"55","L. pipiens",3.40918798379912,7.73055233454546,"Graydon",23.5223685006381
"56","P. crucifer",2.11145792362996,7.05620189716412,"Chloe",8.23577528082966
"57","L. pipiens",2.30103268494149,8.32930562968532,"Asher",11.5457726105482
"58","D. versicolor",3.52016386214853,6.59188005738811,"Graydon",21.3847256791043
"59","P. maculata",4.15697902011842,6.18174289330074,"Asher",27.9663140452969
"60","L. clamitans",2.88937420265124,7.35894566992448,"Graydon",16.0839163270608
"61","P. crucifer",3.29860157673456,7.05871606004693,"Chloe",20.1073141696448
"62","L. pipiens",2.5723284346385,6.9305634117556,"Chloe",12.0057696116534
"63","L. clamitans",2.41080056799778,6.61518373226284,"Chloe",10.0654479599571
"64","L. pipiens",1.70338025408912,6.12567654255754,"Graydon",4.65313769667407
"65","L. clamitans",1.51220809665022,8.19633066850945,"Graydon",4.90694528881883
"66","L. clamitans",1.83965127071259,5.33880045302949,"Asher",4.73024161823691
"67","L. pipiens",2.66720676901733,8.16521207827703,"Graydon",15.2072072702043
"68","L. clamitans",3.54228754220068,5.9303380223503,"Asher",19.4811997115176
"69","P. crucifer",2.2597357001816,7.90888354012866,"Asher",10.5730211460789
"70","P. maculata",4.24149410499125,5.68249257900095,"Asher",26.7636436877175
"71","D. versicolor",1.47478661732765,7.65542995599335,"Graydon",4.35909756964044
"72","L. pipiens",1.12308196699167,6.33962817608126,"Chloe",2.09341495079285
"73","P. crucifer",1.67305037538069,7.99158076861175,"Asher",5.85624658794293
"74","P. crucifer",2.50312289407524,6.31677646402095,"Chloe",10.3616395377484
"75","P. crucifer",3.0401018202369,8.12132119515168,"Graydon",19.6504080199611
"76","P. crucifer",2.45537048565196,7.38855128971708,"Graydon",11.6617031295627
"77","D. versicolor",3.36001292075282,6.84923320916745,"Graydon",20.2438203820632
"78","P. maculata",4.00310659606536,6.53402334166724,"Chloe",27.4121827084654
"79","D. versicolor",2.01795001762606,5.63948436123865,"Chloe",6.01213651539133
"80","L. pipiens",5.04027430627943,6.9704142398427,"Asher",46.3591602113742
"81","L. clamitans",3.0031830531842,6.75923277165795,"Asher",15.9598806222967
"82","P. crucifer",5.3350355276464,8.92189948898775,"Graydon",66.4814655544856
"83","P. crucifer",3.15426335924475,7.09713576222834,"Chloe",18.4861997675838
"84","L. pipiens",2.53442062046179,7.09221937435779,"Asher",11.9263671286547
"85","D. versicolor",2.53045610603185,7.18853980595126,"Graydon",12.0505515597877
"86","P. crucifer",2.50345779274113,6.36222457751679,"Chloe",10.4389824923433
"87","D. versicolor",2.67765957081262,6.96415030174723,"Asher",13.0721639148066
"88","L. pipiens",3.61466497082481,7.11219617305816,"Asher",24.328114695373
"89","L. clamitans",3.12762726293974,8.21094080311352,"Asher",21.0276881692807
"90","L. pipiens",2.84834085274753,8.44040475442296,"Chloe",17.9273384576644
"91","D. versicolor",2.22397123482558,9.20844339284564,"Asher",11.9237587579202
"92","D. versicolor",1.68185083902661,5.03197421737034,"Graydon",3.72633577738505
"93","P. maculata",5.1040600474612,7.5584536762741,"Graydon",51.5505297413112
"94","L. pipiens",3.3788544324945,6.78348767819413,"Chloe",20.2749891744152
"95","L. clamitans",2.77592399071317,6.93222192467104,"Chloe",13.9847988702448
"96","P. crucifer",4.55188895895204,7.26632766931089,"Chloe",39.4154893726753
"97","P. crucifer",2.82992054321004,8.28582346327955,"Asher",17.3721186287439
"98","P. maculata",4.2846443056652,8.10106166149731,"Asher",38.9349940932474
"99","D. versicolor",1.9979443933029,6.40448566227559,"Graydon",6.69298232282487
"100","P. crucifer",0.562512790577725,7.15515828722465,"Graydon",0.592724223493208
