"Species","Limb_width","Limb_length","Observer","Volume"
"Lithobates pipiens",3.68359205060097,8.09943523714178,"Chloe",28.7717592690326
"Dryophytes versicolor",4.01918175272205,6.96908286881836,"Chloe",29.4726744763617
"Pseudacris maculata",2.75951683015512,7.19033941995119,"Asher",14.3345516125458
"Pseudacris crucifer",4.67763759268135,8.33520653499813,"Graydon",47.7461254099056
"Lithobates pipiens",3.40918798379912,7.73055233454546,"Graydon",23.5223685006381
"Pseudacris crucifer",2.11145792362996,7.05620189716412,"Chloe",8.23577528082966
"Lithobates pipiens",2.30103268494149,8.32930562968532,"Asher",11.5457726105482
"Dryophytes versicolor",3.52016386214853,6.59188005738811,"Graydon",21.3847256791043
"Pseudacris maculata",4.15697902011842,6.18174289330074,"Asher",27.9663140452969
"Lithobates clamitans",2.88937420265124,7.35894566992448,"Graydon",16.0839163270608
"Pseudacris crucifer",3.29860157673456,7.05871606004693,"Chloe",20.1073141696448
"Lithobates pipiens",2.5723284346385,6.9305634117556,"Chloe",12.0057696116534
"Lithobates clamitans",2.41080056799778,6.61518373226284,"Chloe",10.0654479599571
"Lithobates pipiens",1.70338025408912,6.12567654255754,"Graydon",4.65313769667407
"Lithobates clamitans",1.51220809665022,8.19633066850945,"Graydon",4.90694528881883
"Lithobates clamitans",1.83965127071259,5.33880045302949,"Asher",4.73024161823691
"Lithobates pipiens",2.66720676901733,8.16521207827703,"Graydon",15.2072072702043
"Lithobates clamitans",3.54228754220068,5.9303380223503,"Asher",19.4811997115176
"Pseudacris crucifer",2.2597357001816,7.90888354012866,"Asher",10.5730211460789
"Pseudacris maculata",4.24149410499125,5.68249257900095,"Asher",26.7636436877175
"Dryophytes versicolor",1.47478661732765,7.65542995599335,"Graydon",4.35909756964044
"Lithobates pipiens",1.12308196699167,6.33962817608126,"Chloe",2.09341495079285
"Pseudacris crucifer",1.67305037538069,7.99158076861175,"Asher",5.85624658794293
"Pseudacris crucifer",2.50312289407524,6.31677646402095,"Chloe",10.3616395377484
"Pseudacris crucifer",3.0401018202369,8.12132119515168,"Graydon",19.6504080199611
"Pseudacris crucifer",2.45537048565196,7.38855128971708,"Graydon",11.6617031295627
"Dryophytes versicolor",3.36001292075282,6.84923320916745,"Graydon",20.2438203820632
"Pseudacris maculata",4.00310659606536,6.53402334166724,"Chloe",27.4121827084654
"Dryophytes versicolor",2.01795001762606,5.63948436123865,"Chloe",6.01213651539133
"Lithobates pipiens",5.04027430627943,6.9704142398427,"Asher",46.3591602113742
"Lithobates clamitans",3.0031830531842,6.75923277165795,"Asher",15.9598806222967
"Pseudacris crucifer",5.3350355276464,8.92189948898775,"Graydon",66.4814655544856
"Pseudacris crucifer",3.15426335924475,7.09713576222834,"Chloe",18.4861997675838
"Lithobates pipiens",2.53442062046179,7.09221937435779,"Asher",11.9263671286547
"Dryophytes versicolor",2.53045610603185,7.18853980595126,"Graydon",12.0505515597877
"Pseudacris crucifer",2.50345779274113,6.36222457751679,"Chloe",10.4389824923433
"Dryophytes versicolor",2.67765957081262,6.96415030174723,"Asher",13.0721639148066
"Lithobates pipiens",3.61466497082481,7.11219617305816,"Asher",24.328114695373
"Lithobates clamitans",3.12762726293974,8.21094080311352,"Asher",21.0276881692807
"Lithobates pipiens",2.84834085274753,8.44040475442296,"Chloe",17.9273384576644
"Dryophytes versicolor",2.22397123482558,9.20844339284564,"Asher",11.9237587579202
"Dryophytes versicolor",1.68185083902661,5.03197421737034,"Graydon",3.72633577738505
"Pseudacris maculata",5.1040600474612,7.5584536762741,"Graydon",51.5505297413112
"Lithobates pipiens",3.3788544324945,6.78348767819413,"Chloe",20.2749891744152
"Lithobates clamitans",2.77592399071317,6.93222192467104,"Chloe",13.9847988702448
"Pseudacris crucifer",4.55188895895204,7.26632766931089,"Chloe",39.4154893726753
"Pseudacris crucifer",2.82992054321004,8.28582346327955,"Asher",17.3721186287439
"Pseudacris maculata",4.2846443056652,8.10106166149731,"Asher",38.9349940932474
"Dryophytes versicolor",1.9979443933029,6.40448566227559,"Graydon",6.69298232282487
"Pseudacris crucifer",0.562512790577725,7.15515828722465,"Graydon",0.592724223493208
